,epoch,F1_score_train,F1_score_val,F1_score_test
0,50.0,0.0,0.0,0.0
1,100.0,0.0,0.0,0.0
2,150.0,0.0,0.0,0.0
3,200.0,0.0,0.0,0.0
4,250.0,0.0,0.0,0.0
5,300.0,0.0,0.0,0.0
6,350.0,0.0,0.0,0.0
7,400.0,0.0,0.0,0.0
8,450.0,0.0,0.0,0.0
9,500.0,0.0,0.0,0.0
10,550.0,0.0,0.0,0.0
11,600.0,0.0,0.0,0.0
12,650.0,0.0,0.0,0.0
13,700.0,0.0,0.0,0.0
14,750.0,0.0,0.0,0.0
15,800.0,0.0,0.0,0.0
16,850.0,0.0,0.0,0.0
17,900.0,0.0,0.0,0.0
18,950.0,0.0,0.0,0.0
19,1000.0,0.0,0.0,0.0
20,1050.0,0.0,0.0,0.0
21,1100.0,0.0,0.0,0.0
22,1150.0,0.0,0.0,0.0
23,1200.0,0.0,0.0,0.0
24,1250.0,0.0,0.0,0.0
25,1300.0,0.0,0.0,0.0
26,1350.0,0.0,0.0,0.0
27,1400.0,0.0,0.0,0.0
28,1450.0,0.0,0.0,0.0
29,1500.0,0.06280193236714976,0.07588075880758807,0.062088428974600186
30,1550.0,0.23651226158038147,0.21410788381742737,0.21805792163543442
31,1600.0,0.33763604150847887,0.31741140215716485,0.31338582677165355
32,1650.0,0.40737240075614367,0.3945480631276901,0.3831982313927782
33,1700.0,0.43771350489637895,0.4240766073871409,0.423562412342216
34,1750.0,0.45875606528451696,0.4440026507620941,0.4333561175666439
35,1800.0,0.46708396287502696,0.45295262816353016,0.4390896921017403
36,1850.0,0.4763319889620038,0.4533333333333333,0.4456163480553724
37,1900.0,0.4925496688741722,0.46077210460772106,0.4634146341463415
38,1950.0,0.5107841161056239,0.4845921450151057,0.48034934497816595
39,2000.0,0.5246681196750544,0.4925639500297442,0.5015253203172666
40,2050.0,0.5358048780487805,0.5017584994138335,0.5179856115107914
41,2100.0,0.5469953775038521,0.5115473441108545,0.5305882352941177
42,2150.0,0.5612708018154312,0.5226757369614512,0.539848749272833
43,2200.0,0.5755448836350203,0.5415282392026578,0.5502283105022832
44,2250.0,0.5863073561544064,0.55573681348559,0.5671309192200558
45,2300.0,0.5917630057803468,0.561858454889249,0.5764770844837107
46,2350.0,0.5997135696383816,0.5663621708758731,0.5852861035422343
47,2400.0,0.6089100193696073,0.5770042194092827,0.594855305466238
48,2450.0,0.612280701754386,0.5817990531299316,0.5998934469898775
49,2500.0,0.6172882537469502,0.5898905680041688,0.5993623804463337
50,2550.0,0.6198404439819633,0.5942857142857143,0.6043317485472794
51,2600.0,0.6257753273604411,0.6006191950464397,0.610062893081761
52,2650.0,0.6333447449503594,0.6056555269922879,0.6169102296450939
53,2700.0,0.6394165535956581,0.6153846153846154,0.6224066390041494
54,2750.0,0.6442112389979688,0.6196754563894523,0.6262312078797304
55,2800.0,0.6507883260650789,0.626008064516129,0.6338461538461538
56,2850.0,0.6587685633238779,0.6295180722891566,0.6318484383000512
57,2900.0,0.6597766294382397,0.6329494241362043,0.636596617119426
58,2950.0,0.6645537948290242,0.6352705410821643,0.6424180327868853
59,3000.0,0.6654430168529951,0.6365914786967418,0.6411042944785276
60,3050.0,0.6650049850448654,0.6391239422598307,0.6424552429667519
61,3100.0,0.6667775191220485,0.6387643248629796,0.6424180327868853
62,3150.0,0.6669995007488767,0.6401590457256461,0.6437724243977447
63,3200.0,0.6679980029955067,0.6417910447761194,0.642380708055413
64,3250.0,0.6683325004164584,0.6400797607178464,0.6423432682425488
65,3300.0,0.6687770743085638,0.6410767696909272,0.6433710174717369
66,3350.0,0.669,0.6410767696909272,0.6437017994858611
67,3400.0,0.6703443664326312,0.643574297188755,0.6415678184631253
68,3450.0,0.6710174029451138,0.6462311557788945,0.6436663233779608
69,3500.0,0.6721311475409836,0.6455505279034691,0.6464230571281523
70,3550.0,0.6721642544597779,0.6510919248349416,0.6410389610389611
71,3600.0,0.6714983987864487,0.6530612244897959,0.6426708398539385
72,3650.0,0.6713947990543735,0.6523517382413088,0.6433420365535248
73,3700.0,0.6739864864864865,0.6506393861892583,0.6450261780104712
74,3750.0,0.6737624598749788,0.6499488229273286,0.6460732984293194
75,3800.0,0.6729857819905213,0.6492575524833589,0.6446540880503144
76,3850.0,0.671872347648956,0.648870636550308,0.6445846477392219
77,3900.0,0.6717583163611677,0.6499231163505894,0.6442105263157895
78,3950.0,0.670518266779949,0.6525990735975296,0.6455696202531646
79,4000.0,0.670299727520436,0.6546205472379969,0.6455361859482304
80,4050.0,0.6711156741957564,0.6542443064182195,0.6444444444444445
81,4100.0,0.6727024256918347,0.655297157622739,0.6455696202531646
82,4150.0,0.6722602739726027,0.6570098292809105,0.6448202959830867
83,4200.0,0.6709034695980762,0.6549039958484691,0.6430834213305174
84,4250.0,0.670907840440165,0.6559418785677218,0.6437632135306554
85,4300.0,0.6717110920034394,0.6601138127263321,0.6455696202531646
86,4350.0,0.6717346233586731,0.6604264170566823,0.6461864406779662
87,4400.0,0.6715101193565127,0.6604166666666667,0.6450928381962865
88,4450.0,0.6718560802629303,0.6611140031233732,0.6440318302387268
89,4500.0,0.6717451523545707,0.6607700312174818,0.6425916091343601
90,4550.0,0.6719778316591618,0.6604264170566823,0.6429330499468651
91,4600.0,0.6715126341294566,0.659043659043659,0.6432748538011696
92,4650.0,0.6717425160062295,0.659043659043659,0.6422115895800107
93,4700.0,0.6724257083621286,0.6607792207792208,0.6414893617021277
94,4750.0,0.6725449515905948,0.6621621621621622,0.6414893617021277
