,intent,object coverage,F1 test
0,"[('age_18-25', 'age_65+', 'pdays_366-730', 'pdays_731-854', 'balance > 10000', 'previous>5'), ('age_18-25', 'age_65+', 'pdays_1-182', 'pdays_366-730', 'pdays_731-854', 'balance > 10000', 'previous>5'), ('month_mar', 'month_oct', 'month_sep', 'poutcome_other', 'age_18-25', 'age_65+', 'pdays_366-730', 'pdays_731-854', 'balance > 10000', 'previous>5')]",0.3,0.628
1,"[('pdays_366-730', 'pdays_731-854', 'balance > 10000', 'previous>5'), ('age_18-25', 'age_65+', 'pdays_1-182', 'pdays_366-730', 'pdays_731-854', 'balance > 10000', 'previous>5'), ('month_mar', 'month_oct', 'month_sep', 'poutcome_other', 'age_18-25', 'age_65+', 'pdays_366-730', 'pdays_731-854', 'balance > 10000', 'previous>5')]",0.3,0.635
