,# clusters,F1 test
0,2.0,0.849
1,3.0,0.903
2,4.0,0.898
3,5.0,0.887
4,6.0,0.857
5,7.0,0.854
6,8.0,0.884
7,9.0,0.869
8,10.0,0.892
