,# clusters,F1 test
0,2.0,0.901
1,3.0,0.904
2,4.0,0.889
3,5.0,0.817
4,6.0,0.825
5,7.0,0.88
6,8.0,0.846
7,9.0,0.848
8,10.0,0.841
