,# clusters,F1 test
0,2.0,0.753
1,3.0,0.638
2,4.0,0.708
3,5.0,0.543
4,6.0,0.733
5,7.0,0.752
6,8.0,0.689
7,9.0,0.632
8,10.0,0.5
