,# clusters,F1 test
0,2.0,0.831
1,3.0,0.831
2,4.0,0.831
3,5.0,0.822
4,6.0,0.823
5,7.0,0.825
6,8.0,0.823
7,9.0,0.826
8,10.0,0.825
