,# clusters,F1 test
0,2.0,0.908
1,3.0,0.854
2,4.0,0.863
3,5.0,0.868
4,6.0,0.857
5,7.0,0.851
6,8.0,0.852
7,9.0,0.838
8,10.0,0.841
