,# clusters,F1 test
0,2.0,0.844
1,3.0,0.867
2,4.0,0.88
3,5.0,0.88
4,6.0,0.905
5,7.0,0.905
6,8.0,0.905
7,9.0,0.905
8,10.0,0.905
