,# clusters,F1 test
0,2.0,0.784
1,3.0,0.835
2,4.0,0.835
3,5.0,0.835
4,6.0,0.835
5,7.0,0.848
6,8.0,0.866
7,9.0,0.866
8,10.0,0.866
