,# clusters,F1 test
0,2.0,0.927
1,3.0,0.874
2,4.0,0.897
3,5.0,0.904
4,6.0,0.913
5,7.0,0.929
6,8.0,0.955
7,9.0,0.934
8,10.0,0.932
