,# clusters,F1 test
0,2.0,0.628
1,3.0,0.48
2,4.0,0.483
3,5.0,0.48
4,6.0,0.441
5,7.0,0.473
6,8.0,0.608
7,9.0,0.463
8,10.0,0.446
