,# clusters,F1 test
0,2.0,0.797
1,3.0,0.809
2,4.0,0.798
3,5.0,0.833
4,6.0,0.849
5,7.0,0.857
6,8.0,0.859
7,9.0,0.859
8,10.0,0.86
