,# clusters,F1 test
0,2.0,0.921
1,3.0,0.827
2,4.0,0.781
3,5.0,0.7
4,6.0,0.638
5,7.0,0.59
6,8.0,0.682
7,9.0,0.688
8,10.0,0.707
