,# clusters,F1 test
0,2.0,0.905
1,3.0,0.919
2,4.0,0.745
3,5.0,0.776
4,6.0,0.927
5,7.0,0.776
6,8.0,0.95
7,9.0,0.95
8,10.0,0.792
