,# clusters,F1 test
0,2.0,0.514
1,3.0,0.536
2,4.0,0.518
3,5.0,0.522
4,6.0,0.594
5,7.0,0.578
6,8.0,0.592
7,9.0,0.575
8,10.0,0.596
